block_number,timestamp,basefee_wei,basefee_gwei
16226176,2022-12-20 13:22:11,11153508448,11.153508448
16226177,2022-12-20 13:22:23,10844096740,10.84409674
16226178,2022-12-20 13:22:35,11267706378,11.267706378
16226179,2022-12-20 13:22:47,10827462254,10.827462254
16226180,2022-12-20 13:22:59,11152702527,11.152702527
16226181,2022-12-20 13:23:11,11038518650,11.03851865
16226182,2022-12-20 13:23:23,11449256225,11.449256225
16226183,2022-12-20 13:23:35,11047529017,11.047529017
16226184,2022-12-20 13:23:47,11483366004,11.483366004
16226185,2022-12-20 13:23:59,10117872159,10.117872159
16226186,2022-12-20 13:24:11,11199935248,11.199935248
16226187,2022-12-20 13:24:23,11362111057,11.362111057
16226188,2022-12-20 13:24:35,11324186414,11.324186414
16226189,2022-12-20 13:24:47,11363227584,11.363227584
16226190,2022-12-20 13:24:59,11515715469,11.515715469
16226191,2022-12-20 13:25:11,11448620305,11.448620305
16226192,2022-12-20 13:25:23,11303253834,11.303253834
16226193,2022-12-20 13:25:35,12183911439,12.183911439
16226194,2022-12-20 13:25:47,11885778437,11.885778437
16226195,2022-12-20 13:25:59,10715163274,10.715163274
16226196,2022-12-20 13:26:11,12052477887,12.052477887
16226197,2022-12-20 13:26:23,12718817406,12.718817406
16226198,2022-12-20 13:26:35,12357203409,12.357203409
16226199,2022-12-20 13:26:47,11909946274,11.909946274
16226200,2022-12-20 13:26:59,12146217475,12.146217475
16226201,2022-12-20 13:27:11,11607830616,11.607830616
16226202,2022-12-20 13:27:23,11701856268,11.701856268
16226203,2022-12-20 13:27:35,11957518618,11.957518618
16226204,2022-12-20 13:27:47,12283213324,12.283213324
16226205,2022-12-20 13:27:59,12650115567,12.650115567
16226206,2022-12-20 13:28:11,12636227954,12.636227954
16226207,2022-12-20 13:28:23,12025587714,12.025587714
16226208,2022-12-20 13:28:35,11926798313,11.926798313
16226209,2022-12-20 13:28:47,11647411373,11.647411373
16226210,2022-12-20 13:28:59,11358950710,11.35895071
16226211,2022-12-20 13:29:11,11045547416,11.045547416
16226212,2022-12-20 13:29:23,11483607199,11.483607199
16226213,2022-12-20 13:29:35,11247155517,11.247155517
16226214,2022-12-20 13:29:47,10922511997,10.922511997
16226215,2022-12-20 13:29:59,10905379764,10.905379764
16226216,2022-12-20 13:30:11,12225177994,12.225177994
16226217,2022-12-20 13:30:23,12968469223,12.968469223
16226218,2022-12-20 13:30:35,13132630374,13.132630374
16226219,2022-12-20 13:30:47,12796563956,12.796563956
16226220,2022-12-20 13:30:59,12501847892,12.501847892
16226221,2022-12-20 13:31:11,12675003381,12.675003381
16226222,2022-12-20 13:31:23,13326442890,13.32644289
16226223,2022-12-20 13:31:35,13306316741,13.306316741
16226224,2022-12-20 13:31:47,12721162259,12.721162259
16226225,2022-12-20 13:31:59,13216651953,13.216651953
16226226,2022-12-20 13:32:11,13175777475,13.175777475
16226227,2022-12-20 13:32:23,13076326817,13.076326817
16226228,2022-12-20 13:32:35,12526870135,12.526870135
16226229,2022-12-20 13:32:47,12437837181,12.437837181
16226230,2022-12-20 13:32:59,12409987828,12.409987828
16226231,2022-12-20 13:33:11,12467771213,12.467771213
16226232,2022-12-20 13:33:23,12611991740,12.61199174
16226233,2022-12-20 13:33:35,12269385619,12.269385619
16226234,2022-12-20 13:33:47,12910205303,12.910205303
16226235,2022-12-20 13:33:59,12255704909,12.255704909
16226236,2022-12-20 13:34:11,12605418486,12.605418486
16226237,2022-12-20 13:34:23,13424297564,13.424297564
16226238,2022-12-20 13:34:35,13198012459,13.198012459
16226239,2022-12-20 13:34:47,13202366483,13.202366483
16226240,2022-12-20 13:35:11,13807174592,13.807174592
16226241,2022-12-20 13:35:23,14639336686,14.639336686
16226242,2022-12-20 13:35:35,13316071184,13.316071184
16226243,2022-12-20 13:35:47,13890525829,13.890525829
16226244,2022-12-20 13:35:59,13997805253,13.997805253
16226245,2022-12-20 13:36:11,13584605673,13.584605673
16226246,2022-12-20 13:36:23,14517956495,14.517956495
16226247,2022-12-20 13:36:35,14722263583,14.722263583
16226248,2022-12-20 13:36:47,14411947466,14.411947466
16226249,2022-12-20 13:36:59,14625427680,14.62542768
16226250,2022-12-20 13:37:11,14282063712,14.282063712
16226251,2022-12-20 13:37:23,13718674742,13.718674742
16226252,2022-12-20 13:37:35,13762984689,13.762984689
16226253,2022-12-20 13:37:47,14265523100,14.2655231
