block_number,timestamp,basefee_wei,basefee_gwei
14758760,2022-05-12 03:25:14,89165531568,89.165531568
14758761,2022-05-12 03:25:22,100297560599,100.297560599
14758762,2022-05-12 03:25:27,112821631991,112.821631991
14758763,2022-05-12 03:25:36,111766960128,111.766960128
14758764,2022-05-12 03:25:53,108861136994,108.861136994
14758765,2022-05-12 03:26:03,111108651370,111.10865137
14758766,2022-05-12 03:26:08,103902692401,103.902692401
14758767,2022-05-12 03:26:10,94944842633,94.944842633
14758768,2022-05-12 03:26:24,106797985062,106.797985062
14758769,2022-05-12 03:26:56,120135770907,120.135770907
14758770,2022-05-12 03:27:31,135144737016,135.144737016
14758771,2022-05-12 03:27:33,122217980747,122.217980747
14758772,2022-05-12 03:27:35,125129790528,125.129790528
14758773,2022-05-12 03:27:37,111020103018,111.020103018
14758774,2022-05-12 03:28:03,115034474297,115.034474297
14758775,2022-05-12 03:28:21,126006378096,126.006378096
14758776,2022-05-12 03:28:27,115006704319,115.006704319
14758777,2022-05-12 03:29:14,128236422809,128.236422809
14758778,2022-05-12 03:29:25,144264870698,144.264870698
14758779,2022-05-12 03:29:36,157719256587,157.719256587
14758780,2022-05-12 03:29:38,144228554655,144.228554655
14758781,2022-05-12 03:30:00,151094030968,151.094030968
14758782,2022-05-12 03:30:33,167459481262,167.459481262
14758783,2022-05-12 03:30:41,178468568987,178.468568987
14758784,2022-05-12 03:30:43,160199113390,160.19911339
14758785,2022-05-12 03:30:54,156199770931,156.199770931
14758786,2022-05-12 03:30:57,148088457407,148.088457407
14758787,2022-05-12 03:31:16,145887656099,145.887656099
14758788,2022-05-12 03:31:40,162134447077,162.134447077
14758789,2022-05-12 03:31:46,161823516056,161.823516056
14758790,2022-05-12 03:32:15,178953080036,178.953080036
14758791,2022-05-12 03:32:16,158542241612,158.542241612
14758792,2022-05-12 03:32:25,146634288424,146.634288424
14758793,2022-05-12 03:32:48,155051167452,155.051167452
14758794,2022-05-12 03:33:08,156632240923,156.632240923
14758795,2022-05-12 03:33:33,167220082344,167.220082344
14758796,2022-05-12 03:33:46,159472521613,159.472521613
14758797,2022-05-12 03:34:03,160358855654,160.358855654
14758798,2022-05-12 03:35:48,180398534635,180.398534635
14758799,2022-05-12 03:35:52,202924180998,202.924180998
14758800,2022-05-12 03:36:35,225840161867,225.840161867
14758801,2022-05-12 03:36:45,210905844282,210.905844282
14758802,2022-05-12 03:36:48,184542613747,184.542613747
14758803,2022-05-12 03:36:52,184673472776,184.673472776
14758804,2022-05-12 03:37:01,167114007225,167.114007225
14758805,2022-05-12 03:37:14,166109950543,166.109950543
14758806,2022-05-12 03:37:26,152676144666,152.676144666
14758807,2022-05-12 03:37:30,146021781620,146.02178162
14758808,2022-05-12 03:37:43,142522178579,142.522178579
14758809,2022-05-12 03:37:51,131388631033,131.388631033
14758810,2022-05-12 03:37:52,114965052154,114.965052154
14758811,2022-05-12 03:38:15,129306677005,129.306677005
14758812,2022-05-12 03:39:02,145461381487,145.461381487
14758813,2022-05-12 03:39:09,160870150478,160.870150478
14758814,2022-05-12 03:39:12,144844488506,144.844488506
14758815,2022-05-12 03:39:58,140817178031,140.817178031
14758816,2022-05-12 03:40:20,158409006420,158.40900642
14758817,2022-05-12 03:40:23,156421506033,156.421506033
14758818,2022-05-12 03:40:52,167129173378,167.129173378
14758819,2022-05-12 03:40:59,147806196955,147.806196955
14758820,2022-05-12 03:41:09,146328761024,146.328761024
14758821,2022-05-12 03:41:10,131107518895,131.107518895
14758822,2022-05-12 03:41:19,131033437501,131.033437501
14758823,2022-05-12 03:41:20,114654257814,114.654257814
14758824,2022-05-12 03:41:36,120629874685,120.629874685
14758825,2022-05-12 03:41:37,110077126108,110.077126108
14758826,2022-05-12 03:42:03,121122863432,121.122863432
14758827,2022-05-12 03:42:47,136253629402,136.253629402
14758828,2022-05-12 03:43:24,153271397666,153.271397666
14758829,2022-05-12 03:43:26,139655398726,139.655398726
14758830,2022-05-12 03:43:34,130216269263,130.216269263
14758831,2022-05-12 03:43:40,118907156914,118.907156914
14758832,2022-05-12 03:43:49,129422058337,129.422058337
14758833,2022-05-12 03:43:51,114790859051,114.790859051
14758834,2022-05-12 03:44:12,129138325549,129.138325549
14758835,2022-05-12 03:44:24,124075829995,124.075829995
14758836,2022-05-12 03:44:32,115915514438,115.915514438
14758837,2022-05-12 03:45:10,130402819777,130.402819777
14758838,2022-05-12 03:45:16,117934360486,117.934360486
14758839,2022-05-12 03:45:30,124776850663,124.776850663
14758840,2022-05-12 03:46:01,134065894098,134.065894098
14758841,2022-05-12 03:46:14,139359502684,139.359502684
14758842,2022-05-12 03:46:26,132932017525,132.932017525
14758843,2022-05-12 03:46:31,124565809178,124.565809178
14758844,2022-05-12 03:46:44,117754950381,117.754950381
14758845,2022-05-12 03:46:56,116309655559,116.309655559
14758846,2022-05-12 03:47:01,111722280178,111.722280178
14758847,2022-05-12 03:47:29,117909882736,117.909882736
14758848,2022-05-12 03:47:40,115683813914,115.683813914
14758849,2022-05-12 03:48:00,104866504865,104.866504865
14758850,2022-05-12 03:48:37,117965991708,117.965991708
14758851,2022-05-12 03:48:55,130107682692,130.107682692
14758852,2022-05-12 03:49:06,135739882453,135.739882453
14758853,2022-05-12 03:49:45,142850053855,142.850053855
14758854,2022-05-12 03:49:48,140801344546,140.801344546
14758855,2022-05-12 03:50:26,151044639645,151.044639645
14758856,2022-05-12 03:50:59,167686133287,167.686133287
14758857,2022-05-12 03:51:30,171470567393,171.470567393
14758858,2022-05-12 03:51:32,155837620040,155.83762004
14758859,2022-05-12 03:51:33,141240676763,141.240676763
14758860,2022-05-12 03:51:35,127907403272,127.907403272
14758861,2022-05-12 03:51:47,123869562172,123.869562172
14758862,2022-05-12 03:51:55,127061184772,127.061184772
14758863,2022-05-12 03:51:57,111871920949,111.871920949
14758864,2022-05-12 03:52:12,113726439495,113.726439495
14758865,2022-05-12 03:52:13,102178379466,102.178379466
14758866,2022-05-12 03:53:07,114940457358,114.940457358
14758867,2022-05-12 03:53:10,124253687046,124.253687046
14758868,2022-05-12 03:53:18,119934634173,119.934634173
14758869,2022-05-12 03:53:19,104942804902,104.942804902
14758870,2022-05-12 03:53:21,99065817605,99.065817605
14758871,2022-05-12 03:53:44,111436438668,111.436438668
14758872,2022-05-12 03:54:00,107764687116,107.764687116
14758873,2022-05-12 03:54:21,121226094182,121.226094182
14758874,2022-05-12 03:54:24,116020912152,116.020912152
14758875,2022-05-12 03:54:29,113537203792,113.537203792
14758876,2022-05-12 03:54:34,100393626164,100.393626164
14758877,2022-05-12 03:54:48,104917753657,104.917753657
14758878,2022-05-12 03:54:49,95980459839,95.980459839
14758879,2022-05-12 03:54:57,95271876096,95.271876096
14758880,2022-05-12 03:55:01,85629705668,85.629705668
14758881,2022-05-12 03:55:26,96321245424,96.321245424
14758882,2022-05-12 03:55:34,103863710460,103.86371046
14758883,2022-05-12 03:55:50,116755344310,116.75534431
14758884,2022-05-12 03:56:21,120949967835,120.949967835
14758885,2022-05-12 03:56:32,134758977858,134.758977858
14758886,2022-05-12 03:56:46,129707615538,129.707615538
14758887,2022-05-12 03:57:02,138119636770,138.11963677
14758888,2022-05-12 03:57:05,130957029798,130.957029798
14758889,2022-05-12 03:57:06,124096674457,124.096674457
14758890,2022-05-12 03:57:32,136476858601,136.476858601
14758891,2022-05-12 03:57:44,137454657943,137.454657943
14758892,2022-05-12 03:57:50,121946581705,121.946581705
14758893,2022-05-12 03:57:52,129100643342,129.100643342
14758894,2022-05-12 03:58:00,127150256982,127.150256982
14758895,2022-05-12 03:58:02,113263593586,113.263593586
14758896,2022-05-12 03:58:37,127414507908,127.414507908
14758897,2022-05-12 03:58:50,140531102611,140.531102611
14758898,2022-05-12 03:58:57,157918470207,157.918470207
14758899,2022-05-12 03:59:40,177649942448,177.649942448
14758900,2022-05-12 03:59:46,180302316785,180.302316785
14758901,2022-05-12 03:59:54,185381984163,185.381984163
14758902,2022-05-12 03:59:57,168128008629,168.128008629
14758903,2022-05-12 04:00:41,189143290257,189.143290257
14758904,2022-05-12 04:00:48,209807803501,209.807803501
14758905,2022-05-12 04:00:57,186444785933,186.444785933
14758906,2022-05-12 04:01:14,201137050916,201.137050916
14758907,2022-05-12 04:01:27,206286497718,206.286497718
14758908,2022-05-12 04:01:53,212335378242,212.335378242
14758909,2022-05-12 04:02:06,210790003129,210.790003129
14758910,2022-05-12 04:02:19,187956035514,187.956035514
14758911,2022-05-12 04:02:21,182421781256,182.421781256
14758912,2022-05-12 04:02:24,172478494423,172.478494423
14758913,2022-05-12 04:02:28,157768299510,157.76829951
14758914,2022-05-12 04:02:34,161221760936,161.221760936
14758915,2022-05-12 04:02:36,146108217066,146.108217066
14758916,2022-05-12 04:02:51,155161007436,155.161007436
14758917,2022-05-12 04:02:59,145754335699,145.754335699
14758918,2022-05-12 04:03:01,135003854323,135.003854323
14758919,2022-05-12 04:03:16,148807129902,148.807129902
14758920,2022-05-12 04:03:40,164433406294,164.433406294
14758921,2022-05-12 04:03:58,184968171856,184.968171856
14758922,2022-05-12 04:04:05,189013175488,189.013175488
14758923,2022-05-12 04:04:42,212609721513,212.609721513
14758924,2022-05-12 04:04:59,216795518932,216.795518932
14758925,2022-05-12 04:05:04,207732188861,207.732188861
14758926,2022-05-12 04:05:08,184335890618,184.335890618
14758927,2022-05-12 04:05:11,172967198562,172.967198562
14758928,2022-05-12 04:05:22,179595639317,179.595639317
14758929,2022-05-12 04:05:33,177031079440,177.03107944
14758930,2022-05-12 04:05:36,162504987476,162.504987476
14758931,2022-05-12 04:05:51,166821611520,166.82161152
14758932,2022-05-12 04:06:05,168992298920,168.99229892
14758933,2022-05-12 04:06:23,169789894689,169.789894689
14758934,2022-05-12 04:06:25,150476919561,150.476919561
14758935,2022-05-12 04:06:30,144241516523,144.241516523
14758936,2022-05-12 04:06:38,150012179051,150.012179051
14758937,2022-05-12 04:07:08,168747699492,168.747699492
14758938,2022-05-12 04:07:11,186409815667,186.409815667
14758939,2022-05-12 04:07:22,186972894476,186.972894476
14758940,2022-05-12 04:07:23,169317533297,169.317533297
14758941,2022-05-12 04:07:44,175418061167,175.418061167
14758942,2022-05-12 04:07:47,169590971795,169.590971795
14758943,2022-05-12 04:07:54,161256704725,161.256704725
14758944,2022-05-12 04:08:04,154721825845,154.721825845
14758945,2022-05-12 04:08:09,139489742120,139.48974212
14758946,2022-05-12 04:08:17,126751896894,126.751896894
14758947,2022-05-12 04:08:25,142595586138,142.595586138
14758948,2022-05-12 04:08:29,137811667020,137.81166702
14758949,2022-05-12 04:08:37,130236697150,130.23669715
14758950,2022-05-12 04:09:16,146515887071,146.515887071
14758951,2022-05-12 04:09:29,164827934686,164.827934686
14758952,2022-05-12 04:09:53,176022144270,176.02214427
14758953,2022-05-12 04:10:11,189941077725,189.941077725
14758954,2022-05-12 04:10:13,178599124460,178.59912446
14758955,2022-05-12 04:10:18,173242893556,173.242893556
14758956,2022-05-12 04:10:32,180162390854,180.162390854
14758957,2022-05-12 04:10:47,190594402833,190.594402833
14758958,2022-05-12 04:11:21,208430365231,208.430365231
14758959,2022-05-12 04:11:25,199955153428,199.955153428
14758960,2022-05-12 04:11:29,189847128658,189.847128658
14758961,2022-05-12 04:11:31,168433203612,168.433203612
14758962,2022-05-12 04:11:32,147379053161,147.379053161
14758963,2022-05-12 04:11:35,150051246638,150.051246638
14758964,2022-05-12 04:11:36,134074935288,134.074935288
14758965,2022-05-12 04:12:03,150800552185,150.800552185
14758966,2022-05-12 04:12:04,151570823812,151.570823812
14758967,2022-05-12 04:12:19,152084480913,152.084480913
14758968,2022-05-12 04:12:25,146142312682,146.142312682
14758969,2022-05-12 04:12:39,164397697926,164.397697926
14758970,2022-05-12 04:12:54,184672833258,184.672833258
14758971,2022-05-12 04:13:27,207698184429,207.698184429
14758972,2022-05-12 04:13:34,192880065789,192.880065789
14758973,2022-05-12 04:14:07,216958284732,216.958284732
14758974,2022-05-12 04:14:10,210653597574,210.653597574
14758975,2022-05-12 04:14:17,195257129579,195.257129579
14758976,2022-05-12 04:14:20,192107927642,192.107927642
14758977,2022-05-12 04:14:27,187345128218,187.345128218
14758978,2022-05-12 04:14:38,191235688587,191.235688587
14758979,2022-05-12 04:15:11,215131200600,215.1312006
14758980,2022-05-12 04:15:13,239683616627,239.683616627
14758981,2022-05-12 04:15:18,218585534184,218.585534184
14758982,2022-05-12 04:15:30,197331092893,197.331092893
14758983,2022-05-12 04:15:32,201973373280,201.97337328
14758984,2022-05-12 04:16:04,205839602583,205.839602583
14758985,2022-05-12 04:16:38,231549215553,231.549215553
14758986,2022-05-12 04:17:23,260488519005,260.488519005
14758987,2022-05-12 04:17:24,255831817258,255.831817258
14758988,2022-05-12 04:17:48,278620405204,278.620405204
