mu,nu,H,avg_fee_mean,avg_fee_std,avg_fee_max,time_underfunded_mean,time_underfunded_max,max_deficit_mean,max_deficit_max,fee_cv_mean,fee_cv_max,deficit_correction_efficiency_mean,insolvency_probability_max,feasible_scenarios
0.0,0.3,36,2.7602907151841008e-08,,2.7602907151841008e-08,0.0,0.0,1.752462503645802e-05,1.752462503645802e-05,0.4650314549156278,0.4650314549156278,1.0,0.0,1
0.0,0.3,72,2.7633039031151972e-08,,2.7633039031151972e-08,0.0,0.0,2.076045632293244e-05,2.076045632293244e-05,0.4232719612606363,0.4232719612606363,1.0,0.0,1
0.0,0.3,144,2.053637650627815e-06,2.8655711105521792e-06,4.079902414871527e-06,0.0,0.0,0.003883247278338331,0.007740584036810105,0.3795819253630703,0.47384294075538375,1.0,0.0,2
0.0,0.3,288,8.836117804190134e-06,1.1991182438371103e-05,2.2492052705845043e-05,0.0,0.0,0.019319716167387924,0.0499018623588654,0.3058587943781847,0.3686588339482571,1.0,0.0,3
0.0,0.3,576,1.155197496325021e-05,1.1259187184354185e-05,2.142705686697086e-05,0.25,1.0,0.04213888848124725,0.10304987806784993,0.3106460265071904,0.4318792863553876,1.0,0.0,4
0.0,0.5,36,2.7377708240140853e-08,,2.7377708240140853e-08,0.0,0.0,1.6474478002237447e-05,1.6474478002237447e-05,0.4903084771190708,0.4903084771190708,1.0,0.0,1
0.0,0.5,72,2.7827298646843927e-08,,2.7827298646843927e-08,0.0,0.0,1.842995220613375e-05,1.842995220613375e-05,0.4627037455502847,0.4627037455502847,1.0,0.0,1
0.0,0.5,144,2.77204941630113e-08,,2.77204941630113e-08,0.0,0.0,2.1670026626452454e-05,2.1670026626452454e-05,0.38889575370537494,0.38889575370537494,1.0,0.0,1
0.0,0.5,288,8.89846864496325e-06,1.2015296783252317e-05,2.257226391250721e-05,0.0,0.0,0.01921093799569462,0.04988501757463837,0.388541660787518,0.45739265286650305,1.0,0.0,3
0.0,0.5,576,8.750716846095749e-06,1.184248446355131e-05,2.223213676793154e-05,0.0,0.0,0.01945974040412087,0.04998011520285672,0.291112800228054,0.348808256171683,1.0,0.0,3
0.0,0.7,72,2.7926243575652914e-08,,2.7926243575652914e-08,0.0,0.0,1.6879587974472088e-05,1.6879587974472088e-05,0.48202156634546034,0.48202156634546034,1.0,0.0,1
0.0,0.7,144,2.7728746912206278e-08,,2.7728746912206278e-08,0.0,0.0,1.9661090163936024e-05,1.9661090163936024e-05,0.453158731317684,0.453158731317684,1.0,0.0,1
0.0,0.7,288,2.7801953057937095e-08,,2.7801953057937095e-08,0.0,0.0,2.459560039369535e-05,2.459560039369535e-05,0.30172362499014693,0.30172362499014693,1.0,0.0,1
0.0,0.7,576,8.890284153350316e-06,1.2075676306913296e-05,2.264411528591094e-05,0.0,0.0,0.01933299268508411,0.05021354980488013,0.32027478469531984,0.3884409966335807,1.0,0.0,3
0.0,0.9,72,2.783119453210583e-08,,2.783119453210583e-08,0.0,0.0,1.6824035128593096e-05,1.6824035128593096e-05,0.49925479446359455,0.49925479446359455,1.0,0.0,1
0.0,0.9,144,2.7789079761204598e-08,,2.7789079761204598e-08,0.0,0.0,1.8537652408667782e-05,1.8537652408667782e-05,0.46695914215574613,0.46695914215574613,1.0,0.0,1
0.0,0.9,288,2.7580244143510345e-08,,2.7580244143510345e-08,0.0,0.0,2.207394572906196e-05,2.207394572906196e-05,0.37049120583442474,0.37049120583442474,1.0,0.0,1
0.0,0.9,576,8.892251622380984e-06,1.2042703165862033e-05,2.2603025580893842e-05,0.0,0.0,0.019175587683472866,0.049780853684296744,0.3619456486836345,0.43666021614284756,1.0,0.0,3
