scenario,mu,nu,H,avg_vault_balance,vault_balance_std,avg_deficit,deficit_std,time_underfunded_pct,time_overfunded_pct,max_deficit,max_surplus,avg_fee,fee_std,fee_cv,fee_95th_percentile,fee_99th_percentile,fee_volatility,l1_tracking_error,response_lag,overpayment_ratio,vault_utilization,insolvency_probability,insolvency_duration,fee_shock_frequency,var_95_deficit,deficit_correction_efficiency,l1_sensitivity,demand_elasticity_realized
July_2022_Spike,0.0,0.1,288,999.9893696253317,0.002187380706446745,0.010630374668267564,0.002187380706446745,0.0,0.0,0.013844920080032352,-0.0030460912570333676,3.593973220373818e-06,1.0161212434431951e-06,0.28272921948414126,4.609506943613123e-06,4.768577682459827e-06,3.2621213143956966e-07,1.8791230476617855,0,0.8473357606047847,0.9999893696253317,0.0,0,0.0,0.013275379997605795,1.0,4.971825760057463e-05,0.00020254906519555314
May_2022_UST_Crash,0.0,0.1,288,999.9412002689063,0.021295926921180174,0.058799731093642435,0.021295926921180174,5.5,0.0,0.1205707864529586,-0.010561651887428525,1.977576932914357e-05,8.261053117415115e-06,0.4177361183739534,3.455358671046108e-05,3.9247487542976835e-05,2.5562939272751215e-06,1.675163344575937,0,0.8697226645348921,0.9999412002689063,0.0,0,0.0,0.1017123527528781,1.0,0.00018225762428019943,1.1594996969684133e-08
May_2023_PEPE_Crisis,0.0,0.1,288,999.9394075816691,0.013202453635851534,0.060592418331004295,0.013202453635851534,0.0,0.0,0.07785348765332856,-0.013284924984418467,2.0310946815349326e-05,6.439650457721337e-06,0.3170531889165691,2.5908207835938255e-05,2.6989827750068767e-05,1.96268774262073e-06,1.8616425092878803,0,0.8635668514553607,0.9999394075816691,0.0,0,0.0,0.07461563856750217,1.0,0.00029705979954870845,7.058715968750651e-06
Recent_Low_Fees,0.0,0.1,288,999.9999306249681,1.941368839903874e-05,6.937503177880445e-05,1.9413688399038737e-05,0.0,0.0,9.370696523092192e-05,-8.93069386620482e-06,2.4260003451181977e-08,6.121673978819721e-09,0.25233607205119607,3.12402289499087e-08,3.239149827570663e-08,1.956210761069435e-09,1.7051478491656975,0,0.854015923568395,0.9999999306249681,0.0,0,0.0,8.997185937573705e-05,1.0,1.545384497808447e-07,0.000594691739356085
July_2022_Spike,0.0,0.1,576,999.9820379899407,0.005686588312267372,0.017962010059270027,0.005686588312267371,0.0,0.0,0.024759314275115685,-0.003044064603386687,3.0699061583732782e-06,1.077225308036018e-06,0.3508984485072443,4.097544617563089e-06,4.207899213525145e-06,1.8959875071495345e-07,1.7613250097130877,0,0.7164692170940483,0.9999820379899408,0.0,0,0.0,0.023691958327287918,1.0,3.42324678942735e-05,9.409435406833834e-05
May_2022_UST_Crash,0.0,0.1,576,999.9034565466462,0.04018365782820485,0.09654345335391668,0.04018365782820485,43.5,0.0,0.1632607383459117,-0.010561686343066867,1.645355280588657e-05,7.401409985309248e-06,0.4498365837839748,2.6428425301242935e-05,2.7775899356925234e-05,1.386817311188047e-06,1.6563333617403808,0,0.7339362690511949,0.9999034565466463,0.0,0,0.0,0.15245262966595302,1.0,0.00015000703431432895,1.1887588988168182e-07
May_2023_PEPE_Crisis,0.0,0.1,576,999.8982735812571,0.03314569441548015,0.10172641874294755,0.03314569441548015,66.0,0.0,0.13466739273997064,-0.01328632114461925,1.7298358817790753e-05,6.47029439885819e-06,0.37404094035809454,2.2962527573614127e-05,2.332307491955356e-05,1.136078987291483e-06,1.7646661731484086,0,0.7263090592535236,0.999898273581257,0.0,0,0.0,0.13226415882401737,1.0,0.0002086123021546863,0.00013185162665008837
Recent_Low_Fees,0.0,0.1,576,999.9998850018782,4.447043809490077e-05,0.00011499812187878433,4.447043809490077e-05,0.0,0.0,0.00016582578030011064,-8.768905445322162e-06,2.0564592252434663e-08,6.4458166431837536e-09,0.313442472579082,2.8217853583632923e-08,2.8620017882730055e-08,1.0141071805615516e-09,1.5259025344173698,15,0.7150808714121387,0.9999998850018782,0.0,0,0.0,0.00016253483664172564,1.0,6.750245014220162e-08,7.601392228003173e-05
July_2022_Spike,0.0,0.2,6,999.9984811421274,0.0022520611014117445,0.0015188578726741753,0.0022520611014117437,0.0,0.0,0.007698711963030291,0.002484408174041164,4.041465491447727e-06,5.645640992924149e-06,1.3969291596998832,1.6019683263347943e-05,2.626828766682196e-05,5.409073594893383e-06,1.1180614464507597,17,0.9502503718526415,0.9999984811421274,0.0,0,0.0,0.005594878904634015,1.0,6.690505444380503e-07,3.228406712456931e-07
May_2022_UST_Crash,0.0,0.2,6,999.9950744924181,0.025150400143940505,0.004925507581940564,0.025150400143940505,0.0,0.0,0.09344760928820506,0.03966363033634934,2.2713910239193336e-05,5.522304444524802e-05,2.4312434038750177,0.00012836010549471455,0.0002525116829404235,3.857515888520207e-05,1.0768029287478103,22,0.9552723836398995,0.9999950744924181,0.0,0,0.0,0.04049993447281394,1.0,1.7934010204595179e-06,5.205057412658466e-07
May_2023_PEPE_Crisis,0.0,0.2,6,999.9908985998555,0.019442552715862482,0.009101400144327271,0.019442552715862482,0.0,0.0,0.054121281522839126,0.03553532563068984,2.336628562794443e-05,4.4012006595411715e-05,1.8835688006302749,0.00011269001796142939,0.0002525116829404235,3.5696102273757895e-05,1.1087453611822833,22,0.9736399775386753,0.9999908985998556,0.0,0,0.0,0.04305000758015466,1.0,4.081348011664651e-06,2.1272252054564334e-06
Recent_Low_Fees,0.0,0.2,6,999.9999966716936,6.3092235995477316e-06,3.328306358980626e-06,6.3092235995477316e-06,0.0,0.0,1.4924446986697149e-05,1.0122823368874379e-05,2.8202462712596138e-08,1.4944715690554593e-08,0.5299081801065478,6.067119064330955e-08,6.407226562500002e-08,1.493171865420458e-08,0.9777032836135777,10,0.9889604973889817,0.9999999966716936,0.0,0,0.0,1.2504285257364245e-05,1.0,1.1927136358539316e-11,0.0004270360451529929
July_2022_Spike,0.0,0.2,12,999.9987295774304,0.001845223213528721,0.001270422569642733,0.001845223213528721,0.0,0.0,0.007702622512624657,0.0023726355034341395,4.118763057957311e-06,4.219097431731543e-06,1.0243603170083768,1.0786065512095409e-05,2.133811703380046e-05,3.7015711554146878e-06,1.1642741359031412,17,0.9697452700243856,0.9999987295774304,0.0,0,0.0,0.005539865974992607,1.0,1.346940775372487e-06,2.5262683961434503e-07
May_2022_UST_Crash,0.0,0.2,12,999.991533966733,0.01433689450370017,0.008466033267195599,0.01433689450370017,0.0,0.0,0.07072389162897252,0.019420563748099084,2.2524249245854428e-05,3.7754074671054053e-05,1.6761524106292982,9.127607745560048e-05,0.00016855733754260333,3.230350097758408e-05,1.1292129974303,21,0.9876447701824127,0.9999915339667329,0.0,0,0.0,0.03132816429658192,1.0,5.83856549945632e-06,9.152473768923665e-09
May_2023_PEPE_Crisis,0.0,0.2,12,999.9936404300844,0.011937950313724613,0.006359569915776433,0.011937950313724612,0.0,0.0,0.05015303952677641,0.02466372770345515,2.406672722762291e-05,2.7666393434821386e-05,1.1495702416515907,6.320529021975791e-05,0.00012667669427511206,2.131162662243549e-05,1.1797230427852037,22,0.9963898370619095,0.9999936404300844,0.0,0,0.0,0.03302982274781235,1.0,1.1581480372580743e-05,5.8850583817516345e-05
